year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,cm_cov_U5,itn_coverage,smc_coverage,Run_Number
2022,0.0561835106383,0.7280585020781,0.0,8.241095890411,0.25,0.2643297862828,0.6,0.0,0,2
2023,0.0,0.0,0.0,7.254794520548,0.25,0.04211938910111,0.6,0.0,0,2
2024,0.0,0.0,0.0,7.391780821918,0.25,0.0,0.6,0.0,0,2
2022,0.1393846490748,1.292200432159,0.01332165393978,75.06575342466,2.0,0.2643297862828,0.6,0.0,0,2
2023,0.0123462814757,0.1068709753454,0.0,56.14246575342,2.0,0.04211938910111,0.6,0.0,0,2
2024,0.0,0.0,0.0,47.68767123288,2.0,0.0,0.6,0.0,0,2
2022,0.2101822912535,2.275784892496,0.02316320501268,172.6876712329,5.0,0.2643297862828,0.6,0.0,0,2
2023,0.03614373479425,0.2299896664917,0.0,156.5287671233,5.0,0.04211938910111,0.6,0.0,0,2
2024,0.0,0.0,0.0,137.6410958904,5.0,0.0,0.6,0.0,0,2
2022,0.3122883439893,2.441368617117,0.01025785133243,194.9726027397,10.0,0.2643297862828,0.6,0.0,0,2
2023,0.04673187603015,0.2761490419507,0.004931232891977,202.7890410959,10.0,0.04211938910111,0.6,0.0,0,2
2024,0.0,0.0,0.0,203.8410958904,10.0,0.0,0.6,0.0,0,2
2022,0.3673943120676,2.536202993244,0.01122213713825,178.2191780822,15.0,0.2643297862828,0.6,0.0,0,2
2023,0.09598182367054,0.4929376137443,0.0,172.4356164384,15.0,0.04211938910111,0.6,0.0,0,2
2024,0.0001062328320155,0.0,0.0,180.5287671233,15.0,0.0,0.6,0.0,0,2
2022,0.4092165389151,2.569096480496,0.02017615037039,148.6904109589,20.0,0.2643297862828,0.6,0.0,0,2
2023,0.1298000138879,0.5956183439121,0.0,157.8191780822,20.0,0.04211938910111,0.6,0.0,0,2
2024,0.001862131342331,0.0,0.0,154.4849315068,20.0,0.0,0.6,0.0,0,2
2022,0.4107795761914,2.767510982812,0.02259192639031,619.6904109589,100.0,0.2643297862828,0.6,0.0,0,2
2023,0.1147955462634,0.5324062693398,0.0,619.8273972603,100.0,0.04211938910111,0.6,0.0,0,2
2024,0.001027604182746,0.0,0.0,621.2082191781,100.0,0.0,0.6,0.0,0,2
2022,0.0561835106383,0.7280585020781,0.0,8.241095890411,0.25,0.2643297862828,0.6,0.8,0,2
2023,0.0121158392435,0.1078605204821,0.0,9.271232876712,0.25,0.03298975387867,0.6,0.8,0,2
2024,0.0,0.0,0.0,6.452054794521,0.25,0.0001530271180161,0.6,0.8,0,2
2022,0.1393846490748,1.292200432159,0.01332165393978,75.06575342466,2.0,0.2643297862828,0.6,0.8,0,2
2023,0.01387167508819,0.1043950840831,0.0,57.47397260274,2.0,0.03298975387867,0.6,0.8,0,2
2024,0.0,0.0,0.0,53.44657534247,2.0,0.0001530271180161,0.6,0.8,0,2
2022,0.2101822912535,2.275784892496,0.02895400626585,172.6876712329,5.0,0.2643297862828,0.6,0.8,0,2
2023,0.02796523336749,0.1418577563018,0.0,155.0849315068,5.0,0.03298975387867,0.6,0.8,0,2
2024,0.0001853988134476,0.007518951781094,0.0,132.997260274,5.0,0.0001530271180161,0.6,0.8,0,2
2022,0.3122883439893,2.441368617117,0.01025785133243,194.9726027397,10.0,0.2643297862828,0.6,0.8,0,2
2023,0.03683427953501,0.2220194740221,0.0,202.6849315068,10.0,0.03298975387867,0.6,0.8,0,2
2024,0.0001322453945541,0.004826956894249,0.0,207.1698630137,10.0,0.0001530271180161,0.6,0.8,0,2
2022,0.3673943120676,2.536202993244,0.01122213713825,178.2191780822,15.0,0.2643297862828,0.6,0.8,0,2
2023,0.06370080508067,0.292683718726,0.0,170.8328767123,15.0,0.03298975387867,0.6,0.8,0,2
2024,0.004096411420856,0.02799981506541,0.0,178.5726027397,15.0,0.0001530271180161,0.6,0.8,0,2
2022,0.4092165389151,2.569096480496,0.02017615037039,148.6904109589,20.0,0.2643297862828,0.6,0.8,0,2
2023,0.09581513071216,0.474568339996,0.0,158.0383561644,20.0,0.03298975387867,0.6,0.8,0,2
2024,0.002562109057497,0.006449447013438,0.0,155.0520547945,20.0,0.0001530271180161,0.6,0.8,0,2
2022,0.4107795761914,2.767510982812,0.02259192639031,619.6904109589,100.0,0.2643297862828,0.6,0.8,0,2
2023,0.1100409872113,0.4526623946149,0.0,622.9808219178,100.0,0.03298975387867,0.6,0.8,0,2
2024,0.004232114175175,0.02555899322033,0.0,626.002739726,100.0,0.0001530271180161,0.6,0.8,0,2
2022,0.02205882352941,0.7668067216873,0.0,7.824657534247,0.25,0.2709102885874,0.6,0.8,0,0
2023,0.0,0.0,0.0,5.786301369863,0.25,0.0365825948648,0.6,0.8,0,0
2024,0.0,0.0,0.0,6.769863013699,0.25,0.0005184738170722,0.6,0.8,0,0
2022,0.1208268665588,1.530726836063,0.02410593442619,82.96712328767,2.0,0.2709102885874,0.6,0.8,0,0
2023,0.01958650707291,0.1381463855505,0.0,57.9095890411,2.0,0.0365825948648,0.6,0.8,0,0
2024,0.0,0.0,0.0,40.10410958904,2.0,0.0005184738170722,0.6,0.8,0,0
2022,0.2176594676042,1.987242546864,0.007332998327911,136.3698630137,5.0,0.2709102885874,0.6,0.8,0,0
2023,0.02390275738293,0.1786588355899,0.0,134.3342465753,5.0,0.0365825948648,0.6,0.8,0,0
2024,0.0,0.0,0.0,126.9945205479,5.0,0.0005184738170722,0.6,0.8,0,0
2022,0.3086923054993,2.325669308659,0.0364198773168,192.202739726,10.0,0.2709102885874,0.6,0.8,0,0
2023,0.0454903646393,0.2301024515182,0.0,191.2191780822,10.0,0.0365825948648,0.6,0.8,0,0
2024,0.0008555399719495,0.005119214765728,0.0,195.3424657534,10.0,0.0005184738170722,0.6,0.8,0,0
2022,0.3471292058139,2.71998719871,0.01172408275306,170.5890410959,15.0,0.2709102885874,0.6,0.8,0,0
2023,0.07218948700023,0.3827524250373,0.0,164.597260274,15.0,0.0365825948648,0.6,0.8,0,0
2024,0.001613921830047,0.00640305923298,0.0,156.1753424658,15.0,0.0005184738170722,0.6,0.8,0,0
2022,0.406636853924,2.767115167808,0.04203212913126,142.7479452055,20.0,0.2709102885874,0.6,0.8,0,0
2023,0.1043599594085,0.4299253504723,0.0,151.1890410959,20.0,0.0365825948648,0.6,0.8,0,0
2024,0.001639201325312,0.01272996794432,0.0,157.1095890411,20.0,0.0005184738170722,0.6,0.8,0,0
2022,0.4152353064213,2.777389567927,0.01679564884398,654.9315068493,100.0,0.2709102885874,0.6,0.8,0,0
2023,0.1277990922541,0.4652615851955,0.001525447820313,655.5452054795,100.0,0.0365825948648,0.6,0.8,0,0
2024,0.004061576553087,0.02011709928047,0.0,646.2164383562,100.0,0.0005184738170722,0.6,0.8,0,0
2022,0.0595474394601,0.5795950889587,0.0,6.901369863014,0.25,0.2388081608689,0.6,0.8,0,1
2023,0.03973040085137,0.3884356319904,0.0,7.723287671233,0.25,0.03382309290591,0.6,0.8,0,1
2024,0.0,0.0,0.0,7.832876712329,0.25,0.0,0.6,0.8,0,1
2022,0.1108672542094,1.214121590368,0.0,79.89315068493,2.0,0.2388081608689,0.6,0.8,0,1
2023,0.00722343603692,0.1139251813293,0.0,61.44383561644,2.0,0.03382309290591,0.6,0.8,0,1
2024,0.0,0.0,0.0,51.65205479452,2.0,0.0,0.6,0.8,0,1
2022,0.1809962470147,1.757269002497,0.006918381899595,144.5424657534,5.0,0.2388081608689,0.6,0.8,0,1
2023,0.019798456582,0.184592038393,0.0,146.2684931507,5.0,0.03382309290591,0.6,0.8,0,1
2024,0.0,0.0,0.0,128.7643835616,5.0,0.0,0.6,0.8,0,1
2022,0.2753347225216,2.272999417037,0.008742305450141,228.7726027397,10.0,0.2388081608689,0.6,0.8,0,1
2023,0.04302462763604,0.2691343333572,0.0,222.9369863014,10.0,0.03382309290591,0.6,0.8,0,1
2024,0.0,0.0,0.0,223.2684931507,10.0,0.0,0.6,0.8,0,1
2022,0.3543950077461,2.610653339885,0.01585417008027,189.2246575342,15.0,0.2388081608689,0.6,0.8,0,1
2023,0.06652555185969,0.3697460046969,0.0,181.2054794521,15.0,0.03382309290591,0.6,0.8,0,1
2024,0.0,0.0,0.0,186.1835616438,15.0,0.0,0.6,0.8,0,1
2022,0.4045771232031,2.631515040994,0.01609489321709,124.2630136986,20.0,0.2388081608689,0.6,0.8,0,1
2023,0.1272865073025,0.5233617965132,0.0,133.7506849315,20.0,0.03382309290591,0.6,0.8,0,1
2024,0.001100782778865,0.0,0.0,134.4,20.0,0.0,0.6,0.8,0,1
2022,0.4065305130732,2.731148466002,0.01806532358751,608.901369863,100.0,0.2388081608689,0.6,0.8,0,1
2023,0.1376458592953,0.5243230995256,0.0,604.5890410959,100.0,0.03382309290591,0.6,0.8,0,1
2024,0.0009281898034954,0.0,0.0,605.095890411,100.0,0.0,0.6,0.8,0,1
2022,0.0595474394601,0.5795950889587,0.0,6.901369863014,0.25,0.2388081608689,0.6,0.0,0,1
2023,0.0,0.0,0.0,6.980821917808,0.25,0.04676772180116,0.6,0.0,0,1
2024,0.0,0.0,0.0,10.83835616438,0.25,0.1154566176067,0.6,0.0,0,1
2022,0.1108672542094,1.214121590368,0.0,79.89315068493,2.0,0.2388081608689,0.6,0.0,0,1
2023,0.01393697292499,0.2106080688536,0.0,61.72602739726,2.0,0.04676772180116,0.6,0.0,0,1
2024,0.03341313625481,0.3419381640851,0.0,52.64109589041,2.0,0.1154566176067,0.6,0.0,0,1
2022,0.1809962470147,1.757269002497,0.006918381899595,144.5424657534,5.0,0.2388081608689,0.6,0.0,0,1
2023,0.0229294104402,0.2191616296768,0.0,146.0109589041,5.0,0.04676772180116,0.6,0.0,0,1
2024,0.09207042904568,0.8435937343165,0.0,130.3945205479,5.0,0.1154566176067,0.6,0.0,0,1
2022,0.2753347225216,2.272999417037,0.008742305450141,228.7726027397,10.0,0.2388081608689,0.6,0.0,0,1
2023,0.0623969687277,0.3951480053365,0.0,222.701369863,10.0,0.04676772180116,0.6,0.0,0,1
2024,0.1293569617724,1.107676777057,0.004558340646327,219.3780821918,10.0,0.1154566176067,0.6,0.0,0,1
2022,0.3543950077461,2.610653339885,0.01585417008027,189.2246575342,15.0,0.2388081608689,0.6,0.0,0,1
2023,0.0883022094639,0.5350353419781,0.005573284812272,179.4273972603,15.0,0.04676772180116,0.6,0.0,0,1
2024,0.1769557759714,1.562458072789,0.005444104783237,183.6849315068,15.0,0.1154566176067,0.6,0.0,0,1
2022,0.4045771232031,2.631515040994,0.01609489321709,124.2630136986,20.0,0.2388081608689,0.6,0.0,0,1
2023,0.1677795985252,0.7999794962816,0.007476443890482,133.7534246575,20.0,0.04676772180116,0.6,0.0,0,1
2024,0.2250974123289,1.713957400061,0.01458687148988,137.1095890411,20.0,0.1154566176067,0.6,0.0,0,1
2022,0.4065305130732,2.731148466002,0.01806532358751,608.901369863,100.0,0.2388081608689,0.6,0.0,0,1
2023,0.165360165184,0.7404587514466,0.0,606.3808219178,100.0,0.04676772180116,0.6,0.0,0,1
2024,0.2449089277662,1.893569167238,0.001662483904511,601.5095890411,100.0,0.1154566176067,0.6,0.0,0,1
2022,0.02205882352941,0.7668067216873,0.0,7.824657534247,0.25,0.2709102885874,0.6,0.0,0,0
2023,0.0,0.0,0.0,6.402739726027,0.25,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,5.175342465753,0.25,0.0005221082903949,0.6,0.0,0,0
2022,0.1208268665588,1.530726836063,0.02410593442619,82.96712328767,2.0,0.2709102885874,0.6,0.0,0,0
2023,0.02470979239921,0.2109725028276,0.0,56.87945205479,2.0,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,37.01095890411,2.0,0.0005221082903949,0.6,0.0,0,0
2022,0.2176594676042,1.987242546864,0.007332998327911,136.3698630137,5.0,0.2709102885874,0.6,0.0,0,0
2023,0.0372358744758,0.2883855756372,0.0,135.2356164384,5.0,0.04960582885316,0.6,0.0,0,0
2024,0.0,0.0,0.0,125.2794520548,5.0,0.0005221082903949,0.6,0.0,0,0
2022,0.3086923054993,2.325669308659,0.0364198773168,192.202739726,10.0,0.2709102885874,0.6,0.0,0,0
2023,0.05839184989064,0.3834033724852,0.0,190.4,10.0,0.04960582885316,0.6,0.0,0,0
2024,0.0008578620951524,0.0,0.0,194.8136986301,10.0,0.0005221082903949,0.6,0.0,0,0
2022,0.3471292058139,2.71998719871,0.01172408275306,170.5890410959,15.0,0.2709102885874,0.6,0.0,0,0
2023,0.08984296692282,0.585365831852,0.0,164.0,15.0,0.04960582885316,0.6,0.0,0,0
2024,0.0001235635734585,0.0,0.0,155.2082191781,15.0,0.0005221082903949,0.6,0.0,0,0
2022,0.406636853924,2.767115167808,0.04203212913126,142.7479452055,20.0,0.2709102885874,0.6,0.0,0,0
2023,0.1281031683782,0.6324899988249,0.0,150.2,20.0,0.04960582885316,0.6,0.0,0,0
2024,0.0009845461418098,0.006417131051421,0.0,155.8328767123,20.0,0.0005221082903949,0.6,0.0,0,0
2022,0.4152353064213,2.777389567927,0.01679564884398,654.9315068493,100.0,0.2709102885874,0.6,0.0,0,0
2023,0.1623301932732,0.7124955853214,0.0,652.6356164384,100.0,0.04960582885316,0.6,0.0,0,0
2024,0.002481241473397,0.001556105096824,0.0,642.6301369863,100.0,0.0005221082903949,0.6,0.0,0,0
